Image Name,Raw Endings (Noisy),Raw Bifurcations (Noisy),Spur-Pruned Endings,Spur-Pruned Bifurcations,Final Endings (Clean),Final Bifurcations (Clean)
00001_59.bmp,52,186,1,135,1,21
00001_60.bmp,27,228,0,201,0,19
00001_61.bmp,62,113,5,56,5,17
00001_62.bmp,36,154,0,118,0,22
00001_63.bmp,59,156,2,99,2,21
00001_64.bmp,40,183,0,143,0,17
00001_65.bmp,46,197,1,152,1,14
00001_66.bmp,39,196,0,157,0,23
00001_67.bmp,30,211,2,183,2,16
00001_68.bmp,37,209,2,174,2,14
00001_69.bmp,51,210,0,159,0,23
00001_70.bmp,30,258,0,228,0,16
00001_71.bmp,72,132,8,68,8,11
00001_72.bmp,86,113,12,39,12,14
00001_73.bmp,77,97,13,33,13,9
00001_74.bmp,45,169,1,125,1,20
00001_75.bmp,42,234,0,192,0,18
00001_76.bmp,56,211,2,157,2,19
00001_77.bmp,66,160,0,94,0,18
00001_78.bmp,66,160,0,94,0,18
00001_79.bmp,43,230,1,188,1,20
00002_00.bmp,18,172,1,155,1,13
00002_01.bmp,50,62,14,26,14,15
00002_02.bmp,41,84,12,55,12,17
00002_03.bmp,46,66,13,33,13,6
00002_04.bmp,22,173,1,152,1,12
00002_05.bmp,30,151,8,129,8,11
00002_06.bmp,35,144,7,116,7,17
00002_07.bmp,29,164,5,140,5,12
00002_08.bmp,28,134,2,108,2,13
00002_09.bmp,10,237,0,227,0,9
00002_10.bmp,1,202,1,202,1,10
00002_11.bmp,14,86,4,76,4,10
00002_12.bmp,7,89,3,85,3,15
00002_13.bmp,18,93,4,79,4,14
00002_14.bmp,6,194,2,190,2,12
00002_15.bmp,10,190,1,181,1,20
00002_16.bmp,0,307,0,307,0,13
00002_17.bmp,12,235,0,223,0,17
00002_18.bmp,5,159,2,156,2,16
00002_19.bmp,12,235,0,223,0,17
00002_20.bmp,13,99,4,90,4,14
00002_21.bmp,34,31,26,23,26,8
00002_22.bmp,33,46,14,27,14,9
00002_23.bmp,34,50,13,29,13,11
00002_24.bmp,23,67,5,49,5,7
00002_25.bmp,9,125,1,117,1,19
00002_26.bmp,26,121,3,98,3,18
00002_27.bmp,10,141,1,132,1,16
00002_28.bmp,7,170,1,164,1,20
00002_29.bmp,8,180,1,173,1,14
00002_30.bmp,10,135,1,126,1,14
00002_31.bmp,28,95,5,72,5,12
00002_32.bmp,32,92,5,65,5,13
00002_33.bmp,34,89,7,62,7,12
00002_34.bmp,8,228,0,220,0,13
00002_35.bmp,20,214,2,196,2,25
00002_36.bmp,13,229,0,216,0,16
00002_37.bmp,13,213,2,202,2,19
00002_38.bmp,17,183,0,166,0,18
00002_39.bmp,4,265,0,261,0,13
00002_40.bmp,23,111,7,95,7,13
00002_41.bmp,22,117,2,97,2,22
00002_42.bmp,54,71,17,34,17,12
00002_43.bmp,43,51,20,28,20,9
00002_44.bmp,31,122,7,98,7,9
00002_45.bmp,31,110,9,88,9,6
00002_46.bmp,28,120,12,104,12,11
00002_47.bmp,23,142,2,121,2,14
00002_48.bmp,35,91,14,70,14,14
00002_49.bmp,27,124,2,99,2,19
00002_50.bmp,10,144,2,136,2,11
00002_51.bmp,16,29,11,24,11,5
00002_52.bmp,16,136,6,126,6,12
00002_53.bmp,16,51,5,40,5,10
00002_54.bmp,19,149,4,134,4,10
00002_55.bmp,20,122,8,110,8,8
00002_56.bmp,9,134,2,127,2,15
00002_57.bmp,17,95,4,82,4,14
00002_58.bmp,5,230,0,225,0,17
00002_59.bmp,8,206,1,199,1,15
00002_60.bmp,28,141,4,117,4,14
00002_61.bmp,50,62,21,33,21,12
00002_62.bmp,50,27,32,9,32,7
00002_63.bmp,59,60,18,19,18,9
00002_64.bmp,45,120,8,83,8,12
00002_65.bmp,21,209,3,191,3,20
00002_66.bmp,36,145,6,115,6,14
00002_67.bmp,41,94,10,63,10,17
